id,name,parent_id
code_fish_cat_medical_1,Medical,Saleable
code_fish_cat_medical_2,Analgesic&Anti-Inflammatory Agents,Medical
code_fish_cat_medical_3,Antispasmodic Drugs,Medical
code_fish_cat_medical_23,Antacid Preparations,Medical
code_fish_cat_medical_6,Simple And MultiVitamins,Medical
code_fish_cat_medical_7,Antimicrobials,Medical
code_fish_cat_medical_8,Antihypertensive And Anti-Anginal Agents,Medical
code_fish_cat_medical_9,Hair Tonic And Dandruff Preparations,Medical
code_fish_cat_medical_10,Topical Hyperpigmentation & Scar Removing agents,Medical
code_fish_cat_medical_11,Topical & Systemic Acne Preparations,Medical
code_fish_cat_medical_12,Eye and Ear Preparations,Medical
code_fish_cat_medical_13,"Topical Anti-Histamine, Diaper-Rach, Sun-Burn and Sun-Screen Preparations",Medical
code_fish_cat_medical_14,Laxative Preparations,Medical
code_fish_cat_medical_15,Mouth And Throat Preparations,Medical
code_fish_cat_medical_16,Chemotherapeutics and Drugs Affecting Immunoresponse,Medical
code_fish_cat_medical_17,Weight Control & Appetite Suppressants,Medical
code_fish_cat_medical_18,Antidepressant drugs,Medical
code_fish_cat_medical_19,Cough Preparations,Medical
code_fish_cat_medical_36,Anti-hemorrhagic and Haemostatic Agents,Medical
code_fish_cat_medical_21,Antidiarrheal Drugs,Medical
code_fish_cat_medical_22,Antiparkinsonian and CNS Stimulant Agents,Medical
code_fish_cat_medical_24,drugs for Peptic and Duodenal Ulcers,Medical
code_fish_cat_medical_26,Disinfectant Solutions and Medicated Soaps,Medical
code_fish_cat_medical_27,Topical Preparations contain Corticosteroids,Medical
code_fish_cat_medical_28,Anticoagulant Drugs,Medical
code_fish_cat_medical_29,Female Sex Hormones,Medical
code_fish_cat_medical_31,Drugs of Bronchial Asthma,Medical
code_fish_cat_medical_32,Anti diabetic Agents,Medical
code_fish_cat_medical_33,Anti-Fungal drugs,Medical
code_fish_cat_medical_34,Topical Anti-Microbial Preparations,Medical
code_fish_cat_medical_35,Anti-Epileptic Agents,Medical
code_fish_cat_medical_37,Venous Nutrition and Blood Electrolytes,Medical
code_fish_cat_medical_57,Drugs for Brain Disorders,Medical
code_fish_cat_medical_40,Antihistaminic Drugs,Medical
code_fish_cat_medical_41,Local And Systemic Anaesthetics,Medical
code_fish_cat_medical_42,Nasal Preparations,Medical
code_fish_cat_medical_43,Digestive Preparations,Medical
code_fish_cat_medical_44,Preparations Of Vaginal Diseases,Medical
code_fish_cat_medical_45,Diuretics and Potassium Preparations,Medical
code_fish_cat_medical_46,Anti-arrhythmic Drugs,Medical
code_fish_cat_medical_47,Oral And Rectal Prostate Preparations,Medical
code_fish_cat_medical_48,Spastic colon drugs,Medical
code_fish_cat_medical_49,Gout And Hyperuricemia,Medical
code_fish_cat_medical_50,Drugs Of Migrain,Medical
code_fish_cat_medical_51,"Pregnancy, Labor, & Lactation",Medical
code_fish_cat_medical_52,Psychotropic Agents,Medical
code_fish_cat_medical_53,Anthelmintic Drugs,Medical
code_fish_cat_medical_54,Drugs Regulate GIT Motility,Medical
code_fish_cat_medical_55,Drugs for Hepatic Disorders,Medical
code_fish_cat_medical_56,"Androgens , Anabolics , Growth Hormones & other Sexual Tonics",Medical
code_fish_cat_medical_58,Nocturnal Enuresis drugs,Medical
code_fish_cat_medical_59,Baby Milk Powder And Other babies & Adults Food,Medical
code_fish_cat_medical_61,Drugs for Circulatory Disturbances,Medical
code_fish_cat_medical_62,Miscellaneous Drugs,Medical
code_fish_cat_medical_63,Sterility And Infertility Agents,Medical
code_fish_cat_medical_64,Thyroid & Antithyroid Agents,Medical
code_fish_cat_medical_65,Antiflatulent Preparations,Medical
code_fish_cat_medical_66,Renal and Biliary Preperations,Medical
code_fish_cat_medical_67,Agents Used in Hypotension,Medical
code_fish_cat_medical_68,Analgesic anti-inflammatory Drugs,Analgesic&Anti-Inflammatory Agents
code_fish_cat_medical_69,Pediatric and Neoborn Antispasmodics,Antispasmodic Drugs
code_fish_cat_medical_4,Drugs for Common Cold & Influenza,Medical
code_fish_cat_medical_72,Vitamins used as Vision support,Simple And MultiVitamins
code_fish_cat_medical_73,Cod ( Halbut ) Liver Oil,Simple And MultiVitamins
code_fish_cat_medical_74,Cephalosporins,Antimicrobials
code_fish_cat_medical_75,Multi-ingredient antihypertensives,Antihypertensive And Anti-Anginal Agents
code_fish_cat_medical_76,MultiVitamins and Minerals for Adults,Simple And MultiVitamins
code_fish_cat_medical_77,Preparations treat and protect against hair falling,Hair Tonic And Dandruff Preparations
code_fish_cat_medical_78,Hyperpigmentation Removing agents,Topical Hyperpigmentation & Scar Removing agents
code_fish_cat_medical_79,Topical Acne Preparations,Topical & Systemic Acne Preparations
code_fish_cat_medical_80,Anti-oxidant + Vitamins&Minerals,Simple And MultiVitamins
code_fish_cat_medical_81,Drops contain decongestant with or without other components,Eye and Ear Preparations
code_fish_cat_medical_82,Skin care Preparations,"Topical Anti-Histamine, Diaper-Rach, Sun-Burn and Sun-Screen Preparations"
code_fish_cat_medical_83,Systemic Antiviral Agents,Antimicrobials
code_fish_cat_medical_84,Analgesic anti-Pyretic agents,Analgesic&Anti-Inflammatory Agents
code_fish_cat_medical_85,Baby care & Napkin Preparations,"Topical Anti-Histamine, Diaper-Rach, Sun-Burn and Sun-Screen Preparations"
code_fish_cat_medical_86,Laxatives contain Bisacodyl,Laxative Preparations
code_fish_cat_medical_87,Preparations contain vitamin A,Simple And MultiVitamins
code_fish_cat_medical_88,Mouth Washes and Gargles,Mouth And Throat Preparations
code_fish_cat_medical_89,Cytotoxic Immuno-Suppressant Drugs,Chemotherapeutics and Drugs Affecting Immunoresponse
code_fish_cat_medical_90,Herbal Tea and other Slimming Drugs,Weight Control & Appetite Suppressants
code_fish_cat_medical_91,Other Anti-depressant Drugs,Antidepressant drugs
code_fish_cat_medical_92,Angiotensin-2 inhibitors,Antihypertensive And Anti-Anginal Agents
code_fish_cat_medical_93,Wet Cough Preparations ( A - Preparations contain a mucolytic only ),Cough Preparations
code_fish_cat_medical_30,Drugs Of Vascular Insufficiency,Medical
code_fish_cat_medical_95,Preparations for Glaucoma ( A - Systemic treatment of Glaucoma ),Eye and Ear Preparations
code_fish_cat_medical_96,Rehydration Solution used during Diarrhoea,Antidiarrheal Drugs
code_fish_cat_medical_97,Antimuscarinic antiparkinsonian agents,Antiparkinsonian and CNS Stimulant Agents
code_fish_cat_medical_99,H2 receptor antagonists,drugs for Peptic and Duodenal Ulcers
code_fish_cat_medical_101,Antimetabolite Chemotherapeutics,Chemotherapeutics and Drugs Affecting Immunoresponse
code_fish_cat_medical_102,Acne Soaps,Topical & Systemic Acne Preparations
code_fish_cat_medical_103,Medicated Soaps,Disinfectant Solutions and Medicated Soaps
code_fish_cat_medical_104,Psoriasis Vulgaris Preparations Not contain Corticosteroids,Topical Preparations contain Corticosteroids
code_fish_cat_medical_105,Chromium Picolinate,Weight Control & Appetite Suppressants
code_fish_cat_medical_106,Drugs that Modify or Suppress Rhumatic disease,Analgesic&Anti-Inflammatory Agents
code_fish_cat_medical_107,Preparations contain Appetizers,Simple And MultiVitamins
code_fish_cat_medical_108,Multi-ingredient Preparations,Cough Preparations
code_fish_cat_medical_109,Direct Anticoagulants,Anticoagulant Drugs
code_fish_cat_medical_110,Muscle Building & Amino acid Preperation,Simple And MultiVitamins
code_fish_cat_medical_111,QUINOLONES,Antimicrobials
code_fish_cat_medical_112,Salbutiamine,Simple And MultiVitamins
code_fish_cat_medical_113,Royal Jelly + Other Agents,Simple And MultiVitamins
code_fish_cat_medical_114,Oestrogen+Progesteron,Female Sex Hormones
code_fish_cat_medical_116,Oral and Parentral preparations,Drugs of Bronchial Asthma
code_fish_cat_medical_117,Tonics Contain Royal Jelly+ Ginseng,Simple And MultiVitamins
code_fish_cat_medical_118,Osteoporosis & Drugs Affecting Bone Metabolism,Simple And MultiVitamins
code_fish_cat_medical_119,Oral Hypoglycemic Drugs ( A - Sulphonylurea Group ),Anti diabetic Agents
code_fish_cat_medical_120,Insulin,Anti diabetic Agents
code_fish_cat_medical_121,Systemic Anti-fungal Preparations,Anti-Fungal drugs
code_fish_cat_medical_122,Surface anaesthetic and analgesic Eye Drops,Eye and Ear Preparations
code_fish_cat_medical_123,Centrally-acting Analgesics,Analgesic&Anti-Inflammatory Agents
code_fish_cat_medical_124,Antiviral Topical Preparations,Topical Anti-Microbial Preparations
code_fish_cat_medical_125,Calcium Channel blockers,Antihypertensive And Anti-Anginal Agents
code_fish_cat_medical_126,Centrally-acting Anti-Hypertensives,Antihypertensive And Anti-Anginal Agents
code_fish_cat_medical_127,Nitrates,Antihypertensive And Anti-Anginal Agents
code_fish_cat_medical_128,"Epilepsy, neuropathic pain, fibromyalgia, and generalized anxiety",Anti-Epileptic Agents
code_fish_cat_medical_129,Preparations contain Antibiotics (Antibacterial),Topical Anti-Microbial Preparations
